metric,neutral_annotation
ff_federal_dependency_by_year,"Federal transfers (INTERGOVERNMENTAL REVENUE/FEDERAL) as share of total revenue. ~41% pre-2020, peaked 48.0% in FY2023, 45.5% in FY2025 — above the pre-pandemic baseline. FY2022 absent from source data."
ff_federal_dependency_by_agency_year,"Per-agency federal revenue share. Concentrated in AHCCCS (Medicaid, ~81% of $20.4B), Economic Security (~97%), Emergency & Military Affairs (~95%)."
pf_duplicate_payment_groups,"Same vendor_id+reference_id+amount across distinct transaction_ids on different days. Different-day exposure $706.9M, of which 99.1% is Medicaid managed-care capitation (multi-cycle payment mechanics); non-Medicaid reviewable residual is $6.3M (largest single item $9,981). Confirmation requires warrant-number reconciliation not present in source data."
pf_structuring_by_agency,"Ratio of expenditures just under $5,000 (4,750-4,999.99) to just over. Elevated for Dept of Veterans Services (1.77), Senate (1.57), House (1.32); their $10k ratios are <1. Consistent with a $5k small-purchase threshold; not evidence of intent."
pf_vendor_concentration,"Largest single external vendor as share of an agency's expenditures (self/internal payments excluded). Indicates sole-source/dependency exposure, not irregularity."
pf_vendor_compliance,"Vendors screened against live OFAC SDN (19,050 entries, normalized exact-name) and Section 889 / FAR-4.20 prohibited sources (word-boundary token match). 127,858 vendors / $277B screened. List-based and reproducible; a hit is a name match warranting confirmation, not proof of a prohibited transaction. Substring matching was rejected after it produced 25 false positives ($47M, all ""Aztec""-named AZ firms vs token ZTE)."
gov_scorecard,"Net-cash-margin is a checkbook cash-basis proxy, NOT GAAP. AG-audited ACFR shows State net position INCREASED $259M in FY2024 despite our -3.2% cash reading (~$2.2B cash-vs-accrual divergence); FY2024 ""watch"" is a timing/liquidity signal, not accrual deterioration. ACFR governs."
ag_findings_xref,Cross-reference of our data-derived signals to AZ Auditor General FY2024 Single Audit findings. Independent corroboration: our transaction analysis surfaced the same AHCCCS/DES risk concentration the AG flagged by audit. One CORRECTS row where audited accrual data overrides our cash proxy.
tier_agency_scorecard,"Per-agency high-value (>=$100K) tiering scorecard: exposure, Tier-1/2 counts and dollars, Tier-1+2 share of the agency's high-value spend, dominant markers. Leads warranting review, not findings."
tier_agency_year,"Agency x fiscal-year tiering trend: high-value exposure and Tier-1/Tier-1+2 dollars per year. Use for bondholder time-series (is high-tier exposure rising?). FY2022 absent; FY2019-2020 thin (NULL appropriation/vendor)."
tier_vendor_flagged,"Vendors with any Tier-1/2 high-value exposure, with marker profile and (where reviewed) an adversarial-verification verdict: genuine_review / explained_benign / false_positive_marker / mixed, plus public context."
tier_top_transactions,"The 1,094-item Tier-1 leaderboard (top review priority): material AND multiple forensic markers. Carries fired markers + verification status. Each is a lead to confirm, never an accusation."
tier_program_summary,"Per-appropriation/program rollup of high-value tiering: exposure, Tier-1 count, Tier-1+2 dollars, distinct vendors. Surfaces program-level concentration (e.g. inmate healthcare, border security, freeway construction)."
tier_distribution,"Tier counts and exposure, overall and per fiscal year. Tier 4 = high-value-but-clean (scheduled mega-flows, ~$304B); Tier 1 = 1,094 items / $5.1B top priority."
tier_interesting_entities,"Curated marquee shortlist + headline findings: the genuine, publicly-salient leads that survived 88-agent verification (Fondomonte, AshBritt, NaphCare/prison-healthcare, water-banking, earmarks). The high-level interesting data."
tier_browser,"Vendor-first browsable viewer (self-contained HTML): one row per canonical vendor (IDs & agencies merged), expand to transactions. Group-by toggle Vendor(default)/Agency/Cabinet/Tier/Verdict; optional filter. Primary display surface."
tier_entities_nested,"Canonical vendor-first JSON (the structure tier_browser.html renders): one object per vendor with primary_agency, full agency list, verdict, and transactions nested (top 30 by score, each carrying its agency). For native app ingestion of the vendor-first drill-down."
tier_entities,"Canonical vendor rollup: ONE row per PARENT vendor (legal-name variants + vendor-IDs merged via tier_entity_crosswalk; joint-ventures and government umbrellas protected from merging). Exposure, tier counts, span, agencies, markers, verification verdict. The deduped display surface."
tier_entity_crosswalk,"Auditable parent-company crosswalk: each raw vendor name -> parent_key, parent_name, merge method (norm_exact/token_subset/token_jaccard), and confidence. 271 duplicate names merged into 4,272 parents; conservative, deterministic, reversible."
